cluster,ave_household_size,med_age,med_hhd_inc_weekly,med_mortgage_monthly,med_prsn_inc_weekly,med_rent_weekly
0,2.494017094,38.06837607,2000.102564,2386.495726,922.5128205,472.2478632
1,2.916,35.99333333,1727.626667,2019.613333,712.22,399.58
2,2.348039216,46.05392157,1309.828431,1545.387255,674.5833333,307.6617647
3,2.896428571,38.79464286,2620.678571,2895.294643,1070.410714,566.3035714
